species,count_15,count_05,count_95
London Planetree,86933,89327,85634
Honey Locust,64236,52060,32231
Callery Pear,58916,63372,30253
Pin Oak,52948,43772,35713
Norway Maple,34167,73990,105393
Little Leaf Linden,29692,27475,25582
Other Cherry,29272,9563,710
Japanese Zelkova,29195,14556,5494
Ginkgo,20879,16155,13057
Japanese Pagoda Tree,19333,7025,8144
Red Maple,17246,20141,17481
Green Ash,16221,20514,17105
American Linden,13530,7187,94
Silver Maple,12277,18614,21830
Sweetgum,10653,8361,6512
Northern Red Oak,8388,11031,6415
Sugar Maple,2840,4451,14805
Sycamore Maple,2727,4085,7378
